AnimalTFDB4（Homo sapiens）,GC-specific TFs
AFF3,ARID3A
ALX4,CTCFL
ANKRD30A,EGR1
AR,EGR2
ARID3A,ETV4
ASCL1,FEZF1
ASCL2,FOXM1
ATF3,HLF
ATOH8,KLF15
CREB3L1,SALL4
CTCFL,TBX5
CUX2,WT1
DMBX1,ZBTB16
DMRT2,ZIC2
DMRTA1,
DMRTB1,
E2F1,
E2F7,
E2F8,
EGR1,
EGR2,
ELF5,
EMX2,
EN2,
ESR1,
ESRRB,
ESRRG,
ETV4,
FEZF1,
FOSB,
FOXD1,
FOXE1,
FOXI1,
FOXI2,
FOXM1,
FOXQ1,
GATA2,
GATA3,
GATA4,
HLF,
HMGA1,
HMGA2,
HMX3,
HNF4G,
HOPX,
HOXC11,
HOXC12,
HOXC13,
HOXD10,
HOXD3,
HOXD8,
HOXD9,
ID4,
INSM1,
IRX1,
IRX3,
IRX6,
KLF15,
LIN28B,
LTF,
MNX1,
MYBL2,
MYF6,
MYOG,
NEUROG3,
NFE2L3,
NKX2-1,
NKX2-2,
NKX2-5,
NKX3-1,
NKX6-3,
NR1H4,
NR5A1,
OLIG1,
OLIG2,
ONECUT2,
ONECUT3,
OTX1,
PAX1,
PAX2,
PAX4,
PAX8,
PDX1,
PEG3,
PGR,
PKNOX2,
POU3F3,
POU3F4,
POU4F1,
POU6F2,
RBPJL,
RCOR2,
RHOXF2,
RORB,
RXRG,
SALL1,
SALL3,
SALL4,
SIM1,
SIX3,
SOHLH1,
SOX10,
SOX14,
SP5,
TBX15,
TBX22,
TBX4,
TBX5,
TCF23,
TEF,
TFAP2B,
TFAP2C,
TFCP2L1,
TLX1,
TP63,
TUB,
WT1,
ZBED2,
ZBTB16,
ZFPM1,
ZIC2,
ZIC5,
ZNF385B,
ZNF471,
ZNF667,
ZNF695,
ZNF716,
ZNF750,
